Parasite.species,Parasite.group,minLCL,maxLCL,midLCL,Host.no,Facultative,Stage,Def.int,Flex.cycle,Length,Width,Biovolume,Host.nofac,trans_to_int,trans_to_def,trans_to_fac,trans_to_human,complete_size
Abbreviata antarctica,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Abbreviata antarctica,nematode,2,2,2,1,no,1larv,int,no,1.6,NA,NA,1st,no,yes,no,no,all missing
Abbreviata antarctica,nematode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,all missing
Abbreviata caucasica,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Abbreviata caucasica,nematode,2,2,2,1,no,1larv,int,no,2.225,0.12,0.030768464,1st,no,yes,no,yes,incomplete
Abbreviata caucasica,nematode,2,2,2,2,no,adult,def,no,35.75,2.5,233.1650798,2nd,no,no,no,no,incomplete
Abbreviata kazachstanica,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,no,no,incomplete
Abbreviata kazachstanica,nematode,2,3,2.5,1,no,1larv,int,yes,6.7125,0.175,0.161454546,1st,yes,no,yes,no,incomplete
Abbreviata kazachstanica,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Abbreviata kazachstanica,nematode,2,3,2.5,3,no,adult,def,yes,11.4,0.35,1.096808535,3rd,no,no,no,no,incomplete
Abbreviata turkomanica,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Abbreviata turkomanica,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,all missing
Abbreviata turkomanica,nematode,2,2,2,2,no,adult,def,no,22.24,NA,NA,2nd,no,no,no,no,all missing
Acanthobothrium brevissime,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,all missing
Acanthobothrium brevissime,cestode,2,2,2,1,no,1larv,int,no,0.655,NA,NA,1st,no,yes,no,no,all missing
Acanthobothrium brevissime,cestode,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,all missing
Acanthobothrium olseni,cestode,3,3,3,0,NA,embryo,NA,no,0.015,0.012,9.42E-05,propagule,yes,no,no,no,incomplete
Acanthobothrium olseni,cestode,3,3,3,1,no,1larv,int,no,0.21,0.14,0.015393804,1st,yes,no,no,no,incomplete
Acanthobothrium olseni,cestode,3,3,3,2,no,2larv,int,no,NA,NA,NA,2nd,no,yes,no,no,incomplete
Acanthobothrium olseni,cestode,3,3,3,3,no,adult,def,no,4.38,0.183,0.80154,3rd,no,no,no,no,incomplete
Acanthocephalus anguillae,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthocephalus anguillae,acanthocephalan,2,2,2,1,no,1larv,int,no,4.8033,0.5025,1.108602393,1st,no,yes,no,no,incomplete
Acanthocephalus anguillae,acanthocephalan,2,2,2,2,no,adult,def,no,16,NA,NA,2nd,no,no,no,no,incomplete
Acanthocephalus anthuris,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthocephalus anthuris,acanthocephalan,2,2,2,1,no,1larv,int,no,2.4175,0.505,0.483698258,1st,no,yes,no,no,incomplete
Acanthocephalus anthuris,acanthocephalan,2,2,2,2,no,adult,def,no,8,0.85,4.539601384,2nd,no,no,no,no,incomplete
Acanthocephalus clavula,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.044,0.008,0.000184307,propagule,yes,no,no,no,complete
Acanthocephalus clavula,acanthocephalan,2,2,2,1,no,1larv,int,no,8.9,0.635,2.818560352,1st,no,yes,no,no,complete
Acanthocephalus clavula,acanthocephalan,2,2,2,2,no,adult,def,no,31,2.5,152.1708942,2nd,no,no,no,no,complete
Acanthocephalus dirus,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.055,0.015,0.000431969,propagule,yes,no,no,no,complete
Acanthocephalus dirus,acanthocephalan,2,2,2,1,no,1larv,int,no,5.888,0.69875,2.411702525,1st,no,yes,no,no,complete
Acanthocephalus dirus,acanthocephalan,2,2,2,2,no,adult,def,no,8.119889911,0.662911093,2.864346946,2nd,no,no,no,no,complete
Acanthocephalus galaxii,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.027,0.007,9.90E-05,propagule,yes,no,no,no,incomplete
Acanthocephalus galaxii,acanthocephalan,2,2,2,1,no,1larv,int,no,1.1,0.42,0.15239866,1st,no,yes,no,no,incomplete
Acanthocephalus galaxii,acanthocephalan,2,2,2,2,no,adult,def,no,NA,NA,NA,2nd,no,no,no,no,incomplete
Acanthocephalus lucii,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthocephalus lucii,acanthocephalan,2,2,2,1,no,1larv,int,no,5.188558713,0.422438514,0.618248594,1st,no,yes,no,no,incomplete
Acanthocephalus lucii,acanthocephalan,2,2,2,2,no,adult,def,no,13.29666667,1.2,14.13716694,2nd,no,no,no,no,incomplete
Acanthocephalus ranae,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthocephalus ranae,acanthocephalan,2,2,2,1,no,1larv,int,no,3.5365,0.62,1.067694297,1st,no,yes,no,no,incomplete
Acanthocephalus ranae,acanthocephalan,2,2,2,2,no,adult,def,no,23.07145299,1.121538462,14.62986137,2nd,no,no,no,no,incomplete
Acanthocephalus rhinensis,acanthocephalan,2,2,2,0,NA,embryo,NA,no,0.047,0.009,0.000221482,propagule,yes,no,no,no,complete
Acanthocephalus rhinensis,acanthocephalan,2,2,2,1,no,1larv,int,no,2.75,0.7,1.118406985,1st,no,yes,no,no,complete
Acanthocephalus rhinensis,acanthocephalan,2,2,2,2,no,adult,def,no,9.915,1.03,9.544632862,2nd,no,no,no,no,complete
Acanthocephalus sp.,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthocephalus sp.,acanthocephalan,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Acanthocephalus sp.,acanthocephalan,2,2,2,2,no,adult,def,no,7.6,0.9,4.834911094,2nd,no,no,no,no,incomplete
Acanthocephalus tumescens,acanthocephalan,2,3,2.5,0,NA,embryo,NA,yes,0.056,0.015,0.000439823,propagule,yes,no,no,no,incomplete
Acanthocephalus tumescens,acanthocephalan,2,3,2.5,1,no,1larv,int,yes,NA,NA,NA,1st,no,yes,no,no,incomplete
Acanthocephalus tumescens,acanthocephalan,2,3,2.5,2,no,adult,def,yes,4.148333333,0.775,1.844463408,2nd,no,no,no,no,incomplete
Acanthocirrus retrirostris,cestode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthocirrus retrirostris,cestode,2,2,2,1,no,1larv,int,no,0.47,0.4,0.09843657,1st,no,yes,no,no,incomplete
Acanthocirrus retrirostris,cestode,2,2,2,2,no,adult,def,no,20,0.7,14,2nd,no,no,no,no,incomplete
Acanthogyrus (Acanthosentis) lizae,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthogyrus (Acanthosentis) lizae,acanthocephalan,2,2,2,1,no,1larv,int,no,0.59,0.091,0.00383729,1st,no,yes,no,no,incomplete
Acanthogyrus (Acanthosentis) lizae,acanthocephalan,2,2,2,2,no,adult,def,no,42.65,1.12,42.01892741,2nd,no,no,no,no,incomplete
Acanthosentis dattai,acanthocephalan,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acanthosentis dattai,acanthocephalan,2,2,2,1,no,1larv,int,no,0.53,0.070666667,0.002078715,1st,no,yes,no,no,incomplete
Acanthosentis dattai,acanthocephalan,2,2,2,2,no,adult,def,no,5.565,0.67,1.962025536,2nd,no,no,no,no,incomplete
Acuaria anthuris,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acuaria anthuris,nematode,2,2,2,1,no,1larv,int,no,0.68,0.043,0.000987497,1st,no,no,no,no,incomplete
Acuaria depressa,nematode,2,2,2,0,NA,embryo,NA,no,0.26,NA,NA,propagule,yes,no,no,no,incomplete
Acuaria depressa,nematode,2,2,2,1,no,1larv,int,no,1.15,NA,NA,1st,no,yes,no,no,incomplete
Acuaria depressa,nematode,2,2,2,2,no,adult,def,no,19.1,0.462,3.201895839,2nd,no,no,no,no,incomplete
Acuaria gruveli,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acuaria gruveli,nematode,2,2,2,1,no,1larv,int,no,0.575,0.037,0.000618246,1st,no,yes,no,no,incomplete
Acuaria gruveli,nematode,2,2,2,2,no,adult,def,no,29,0.22,1.102384862,2nd,no,no,no,no,incomplete
Acuaria hamulosa,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acuaria hamulosa,nematode,2,2,2,1,no,1larv,int,no,0.6985,0.0478,0.001253726,1st,no,yes,no,no,incomplete
Acuaria hamulosa,nematode,2,2,2,2,no,adult,def,no,16.48916667,0.480625,3.587968914,2nd,no,no,no,no,incomplete
Acuaria subula,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Acuaria subula,nematode,2,2,2,1,no,1larv,int,no,0.7,0.0155,0.000132084,1st,no,yes,no,no,incomplete
Acuaria subula,nematode,2,2,2,2,no,adult,def,no,15.19285714,0.2465,0.713256752,2nd,no,no,no,no,incomplete
Aelurostrongylus abstrusus,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.3847,0.018666667,0.000105274,propagule,yes,no,no,no,incomplete
Aelurostrongylus abstrusus,nematode,2,3,2.5,1,no,1larv,int,yes,0.547575,0.027095556,0.000306179,1st,yes,no,yes,no,incomplete
Aelurostrongylus abstrusus,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Aelurostrongylus abstrusus,nematode,2,3,2.5,3,no,adult,def,yes,9.75,0.09,0.062156411,3rd,no,no,no,no,incomplete
Aelurostrongylus falciformis,nematode,2,2,2,0,NA,free larva,NA,no,0.284,0.01525,5.33E-05,propagule,yes,no,no,no,incomplete
Aelurostrongylus falciformis,nematode,2,2,2,1,no,1larv,int,no,0.3987,0.0303,0.000287489,1st,no,yes,no,no,incomplete
Aelurostrongylus falciformis,nematode,2,2,2,2,no,adult,def,no,NA,0.105,NA,2nd,no,no,no,no,incomplete
Aelurostrongylus pridhami,nematode,2,3,2.5,0,NA,free larva,NA,yes,0.261,0.012,2.95E-05,propagule,yes,no,no,no,incomplete
Aelurostrongylus pridhami,nematode,2,3,2.5,1,no,1larv,int,yes,0.373,0.02,0.000117181,1st,yes,no,yes,no,incomplete
Aelurostrongylus pridhami,nematode,2,3,2.5,2,paratenic,2larv,int,yes,NA,NA,NA,2nd,no,yes,no,no,incomplete
Aelurostrongylus pridhami,nematode,2,3,2.5,3,no,adult,def,yes,NA,0.16325,NA,3rd,no,no,no,no,incomplete
Allodapa suctoria,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Allodapa suctoria,nematode,2,2,2,1,no,1larv,int,no,0.631277778,0.102944444,0.005060465,1st,no,yes,no,no,incomplete
Allodapa suctoria,nematode,2,2,2,2,no,adult,def,no,11.8218,0.39375,1.526205808,2nd,no,no,no,no,incomplete
Amidostomum acutum,nematode,1,1,1,0,NA,free larva,NA,no,0.577,0.013166667,7.82E-05,propagule,no,yes,no,no,complete
Amidostomum acutum,nematode,1,1,1,1,no,adult,def,no,13.13438333,0.133533333,0.195885106,1st,no,no,no,no,complete
Amidostomum anseris,nematode,1,1,1,0,NA,free larva,NA,no,0.665,0.0155,0.00012548,propagule,no,yes,no,no,complete
Amidostomum anseris,nematode,1,1,1,1,no,adult,def,no,18.275,0.35,1.73180295,1st,no,no,no,no,complete
Amidostomum fulicae,nematode,1,1,1,0,NA,free larva,NA,no,0.6435,0.01675,0.000141819,propagule,no,yes,no,no,complete
Amidostomum fulicae,nematode,1,1,1,1,no,adult,def,no,9.116666667,0.175,0.216475369,1st,no,no,no,no,complete
Amirthalingamia macracantha,cestode,3,3,3,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Amirthalingamia macracantha,cestode,3,3,3,1,no,1larv,int,no,NA,NA,NA,1st,yes,no,no,no,incomplete
Amirthalingamia macracantha,cestode,3,3,3,2,no,2larv,int,no,3.4,1.55,6.415524898,2nd,no,yes,no,no,incomplete
Amirthalingamia macracantha,cestode,3,3,3,3,no,adult,def,no,46,1.85,85.1,3rd,no,no,no,no,incomplete
Amoebotaenia cuneata,cestode,2,2,2,0,NA,embryo,NA,no,0.019,0.019,0.000189019,propagule,yes,no,no,no,complete
Amoebotaenia cuneata,cestode,2,2,2,1,no,1larv,int,no,0.29,0.16,0.019268435,1st,no,yes,no,no,complete
Amoebotaenia cuneata,cestode,2,2,2,2,no,adult,def,no,2.75,0.9,2.433333333,2nd,no,no,no,no,complete
Amphilina foliacea,cestode,2,2,2,0,NA,embryo,NA,no,0.1325,0.1225,0.008498663,propagule,yes,no,no,no,complete
Amphilina foliacea,cestode,2,2,2,1,no,1larv,int,no,2.41525,0.8265,2.33940825,1st,no,yes,no,no,complete
Amphilina foliacea,cestode,2,2,2,2,no,adult,def,no,38.41666667,16.58333333,733.4375,2nd,no,no,no,no,complete
Amplicaecum robertsi,nematode,2,3,2.5,0,NA,embryo,NA,yes,NA,NA,NA,propagule,yes,no,yes,no,incomplete
Amplicaecum robertsi,nematode,2,3,2.5,1,paratenic,1larv,int,yes,0.451615385,NA,NA,1st,yes,no,no,no,incomplete
Amplicaecum robertsi,nematode,2,3,2.5,2,no,2larv,int,yes,49.22727273,NA,NA,2nd,no,yes,no,no,incomplete
Amplicaecum robertsi,nematode,2,3,2.5,3,no,adult,def,yes,129.5,0.925,100.1289392,3rd,no,no,no,no,incomplete
Ancyracanthopsis winegardi,nematode,2,2,2,0,NA,embryo,NA,no,NA,NA,NA,propagule,yes,no,no,no,incomplete
Ancyracanthopsis winegardi,nematode,2,2,2,1,no,1larv,int,no,NA,NA,NA,1st,no,yes,no,no,incomplete
Ancyracanthopsis winegardi,nematode,2,2,2,2,no,adult,def,no,10.4,0.115,0.108023663,2nd,no,no,no,no,incomplete
